epoch,train_loss,train_acc,val_loss,val_acc,seed,batch_size,learning_rate,hidden_size,num_classes
1,1.116069,0.511640,0.666314,0.791757,42,32,0.001,64,4
2,0.733148,0.720087,0.395900,0.863341,42,32,0.001,64,4
3,0.509250,0.806172,0.322863,0.889371,42,32,0.001,64,4
4,0.408914,0.846237,0.259334,0.915401,42,32,0.001,64,4
5,0.329812,0.878722,0.145810,0.954447,42,32,0.001,64,4
6,0.304553,0.894423,0.110719,0.971800,42,32,0.001,64,4
7,0.276155,0.896048,0.110361,0.958785,42,32,0.001,64,4
8,0.217941,0.917704,0.081693,0.978308,42,32,0.001,64,4
9,0.242306,0.914997,0.075027,0.984816,42,32,0.001,64,4
10,0.180562,0.939903,0.065366,0.984816,42,32,0.001,64,4
11,0.176577,0.933947,0.059860,0.980477,42,32,0.001,64,4
12,0.163690,0.949107,0.033117,0.997831,42,32,0.001,64,4
13,0.133378,0.952897,0.032608,0.995662,42,32,0.001,64,4
14,0.142384,0.953979,0.029337,0.991323,42,32,0.001,64,4
15,0.115523,0.963184,0.023866,0.993492,42,32,0.001,64,4
16,0.121747,0.959394,0.026932,0.993492,42,32,0.001,64,4
17,0.133666,0.958852,0.034596,0.991323,42,32,0.001,64,4
18,0.119040,0.960476,0.017843,0.997831,42,32,0.001,64,4
19,0.108430,0.963725,0.014434,0.997831,42,32,0.001,64,4
20,0.115335,0.961018,0.014061,0.997831,42,32,0.001,64,4
21,0.108205,0.964266,0.018065,0.995662,42,32,0.001,64,4
22,0.101699,0.966973,0.017731,0.991323,42,32,0.001,64,4
23,0.086432,0.970763,0.020690,0.995662,42,32,0.001,64,4
24,0.097681,0.965349,0.012380,0.995662,42,32,0.001,64,4
25,0.102176,0.963184,0.012364,0.995662,42,32,0.001,64,4
26,0.073790,0.973470,0.010855,0.997831,42,32,0.001,64,4
27,0.084571,0.970763,0.013001,0.995662,42,32,0.001,64,4
28,0.098056,0.965891,0.011068,0.997831,42,32,0.001,64,4
29,0.087354,0.969681,0.007287,1.000000,42,32,0.001,64,4
30,0.083468,0.972388,0.007176,1.000000,42,32,0.001,64,4
